|codigo|tema|ativo|ordem|livro|banco_tematico|versos|verbetes_no_texto|verbetes_do_tema|total_de_itimos|qtd_de_variacoes|qtd_cientifica|
|M0149|Caprico=m|S|149|signos_mas|esoteric|7|25|122|86|459841536|4.60e+08|
|M0150|Escorpio=f|S|150|signos_fem|esoteric|6|21|114|72|853493760|8.53e+08|
|M0151|Escorpio=m|S|151|signos_mas|esoteric|6|21|114|72|853493760|8.53e+08|
|M0152|Gemeos=f|S|152|signos_fem|esoteric|7|15|116|59|1782000|1.78e+06|
|M0153|Gemeos=m|S|153|signos_mas|esoteric|7|15|117|59|1782000|1.78e+06|
|M0154|Leao=f|S|154|signos_fem|esoteric|6|14|90|58|1036800|1.04e+06|
|M0155|Leao=m|S|155|signos_mas|esoteric|6|14|89|58|1036800|1.04e+06|
|M0156|Libra=f|S|156|signos_fem|esoteric|6|14|107|77|21228480|2.12e+07|
|M0157|Libra=m|S|157|signos_mas|esoteric|6|14|107|77|21228480|2.12e+07|
|M0158|Peixes=f|S|158|signos_fem|esoteric|6|16|103|53|1209600|1.21e+06|
|M0159|Peixes=m|S|159|signos_mas|esoteric|6|16|101|52|1058400|1.06e+06|
|M0160|Sagitari=f|S|160||esoteric|8|19|120|81|2911334400|2.91e+09|
|M0161|Sagitari=m|S|161||esoteric|8|19|120|81|2911334400|2.91e+09|
|M0162|Touro=f|S|162|signos_fem|esoteric|5|13|113|59|1254528|1.25e+06|
|M0163|Touro=m|S|163|signos_mas|esoteric|5|13|113|59|1254528|1.25e+06|
|M0164|Virgem=f|S|164|signos_fem|esoteric|7|20|97|110|4255027200|4.26e+09|
|M0165|Virgem=m|S|165|signos_mas|esoteric|7|20|96|107|3616773120|3.62e+09|
<EOF>

LEGENDA
codigo = identificador interno e estável do tema.
tema = nome autoral do tema.
ativo = autorização de circulação no palco.
ordem = posição canônica de circulação; preserva o bloco final dos 24 signos.
livro = livro(s) da Machina ao qual o tema pertence.
banco_tematico = banco visual associado ao tema.
imagem = escolha RANDOM do banco_tematico; não integra o DNA.
versos = quantidade de versos do yPoema.
verbetes_no_texto = quantidade de verbetes no texto.
verbetes_do_tema = quantidade de verbetes únicos disponíveis no tema.ypo.
total_de_itimos = quantidade total de ítimos disponíveis no tema.ypo.
qtd_de_variacoes = quantidade total de variações possíveis do tema.
qtd_cientifica = quantidade de variações em notação científica.
